Airplane_id,Seat_no,Flight_number,Leg_no,Date
PLN15597200,11D,2030,1,2025-10-12
PLNAD554C55,23B,1023,1,2025-12-17
PLN053E4DEA,4H,3050,1,2025-11-03
PLN11DCE93B,4E,2026,1,2025-10-24
PLN24597B77,18E,1099,2,2025-10-19
PLN0714E876,24E,1092,1,2025-11-27
PLN84CA1279,25A,3063,1,2025-12-25
PLN9890520A,26C,2000,1,2025-11-29
PLNECD4E916,17E,1035,1,2025-10-05
PLND35EC308,24E,4071,1,2025-11-20
PLN8CDA5BE5,12D,3028,1,2025-10-21
PLN77A60286,19D,1058,1,2025-11-08
PLN8CDA5BE5,21A,1096,2,2025-12-01
PLN77A60286,11C,1054,1,2025-10-31
PLN10BBD33C,24E,1036,2,2025-12-31
PLNEFAF4938,17F,2055,1,2025-12-05
PLN50C1051E,13A,3096,1,2025-12-11
PLN666CF97C,28E,4047,1,2025-10-28
PLN71EBC029,24D,1075,2,2025-12-03
PLN4D1B10E3,4B,3053,1,2025-11-10
PLN5C1AF452,13F,4006,2,2025-10-24
PLN77A60286,28E,1074,1,2025-10-29
PLN11DCE93B,16C,1089,2,2025-12-13
PLN3DEE6B5B,9B,1094,1,2025-12-05
PLN84CA1279,10A,1082,2,2025-12-26
PLN84CA1279,26D,4017,1,2025-11-08
PLN16F4A5BF,30E,3070,1,2025-12-07
PLNCE4B8E4E,14C,4091,1,2025-10-16
PLN9F9A25EE,3E,2089,1,2025-10-03
PLN7E760207,5K,2045,1,2025-11-20
PLN2DA19843,16D,3034,1,2025-10-29
PLNDFB94CA8,14C,1037,2,2025-10-28
PLNB20A20AB,9H,1075,1,2025-10-02
PLN8E2E4EA6,24D,3051,1,2025-10-10
PLND35EC308,10D,4097,1,2025-11-20
PLNBA5E16F1,9K,2098,1,2025-10-08
PLN9890520A,18A,1087,2,2025-10-09
PLN1E8599F1,24E,3072,2,2025-12-29
PLNCFAEFF1D,1C,1097,2,2025-11-16
PLN2AD0A7E6,8F,3077,2,2025-10-11
PLNAC15D25B,8F,4094,1,2025-12-19
PLN9890520A,6C,3022,2,2025-10-02
PLN13377C94,4E,3040,2,2025-12-18
PLN9747BE71,25E,1012,2,2025-12-10
PLN3B244BA3,25A,4020,1,2025-12-05
PLN9890520A,24E,1040,1,2025-11-10
PLNEFAF4938,22D,2083,2,2025-12-22
PLN09FA17E6,13C,2014,1,2025-12-05
PLNEA04C659,3B,1061,3,2025-12-03
PLNAE48CDB3,22E,4015,1,2025-10-05
PLN13377C94,25F,1078,1,2025-10-16
PLNAC15D25B,26C,1092,1,2025-10-20
PLNCA3BE028,4F,4027,1,2025-10-21
PLNECD4E916,30C,4047,2,2025-10-26
PLNDF95BE55,28D,4074,2,2025-12-16
PLN1E8599F1,25C,3072,2,2025-10-02
PLNDDE786FB,2A,4058,1,2025-11-18
PLNCC04AA08,3A,3093,1,2025-10-29
PLN2DA19843,9B,4003,1,2025-12-11
PLN04AE76F7,20G,3081,1,2025-10-05
PLN77A60286,19E,4079,1,2025-11-11
PLNBA5E16F1,20G,1065,1,2025-12-17
PLNB1DFEBD0,23B,4028,2,2025-11-23
PLNAC15D25B,23B,2032,1,2025-12-07
PLN50C1051E,19E,3096,1,2025-11-22
PLNE9EBF149,25D,4033,2,2025-10-30
PLN68D8B0D1,30F,2063,1,2025-12-09
PLN053E4DEA,21G,3050,1,2025-10-25
PLN53B3B470,5A,4084,1,2025-11-03
PLN37DAFD19,17G,2008,1,2025-11-21
PLN09FA17E6,5A,2092,1,2025-12-19
PLN8CDA5BE5,14E,3025,1,2025-12-29
PLNB1DFEBD0,13D,4024,1,2025-10-23
PLNDF95BE55,23C,1036,2,2025-12-28
PLN68D8B0D1,8H,3027,1,2025-11-25
PLNAC15D25B,5E,2032,2,2025-12-16
PLN2425B618,1A,3056,1,2025-11-19
PLN9F9A25EE,33C,1093,1,2025-11-15
PLNB20A20AB,22C,1091,1,2025-10-30
PLN71EBC029,5G,2010,2,2025-11-18
PLNB1DFEBD0,23C,2048,1,2025-12-03
PLN9890520A,10C,4033,1,2025-11-29
PLND35EC308,11B,2025,1,2025-11-15
PLN9C0ACC4F,12E,1086,1,2025-11-22
PLNE00DD798,13E,4097,1,2025-11-09
PLN1753A0C0,11D,3068,2,2025-11-14
PLNDFB94CA8,5C,1019,1,2025-10-03
PLNE00DD798,19E,4007,1,2025-12-25
PLNFDE9902F,18C,3025,1,2025-12-10
PLND35EC308,5A,4071,1,2025-11-10
PLN16F4A5BF,34F,2022,1,2025-12-18
PLN9C5513E5,15B,4070,2,2025-10-07
PLN15597200,29E,2087,1,2025-11-06
PLN15597200,1C,2005,2,2025-11-10
PLNCA3BE028,20B,4096,1,2025-12-31
PLNF499F8E1,31B,3054,1,2025-10-29
PLN666CF97C,18C,4092,1,2025-11-12
PLN717F6622,25F,3058,1,2025-12-03
PLN0714E876,27E,1045,1,2025-11-26
PLNCB3A28CD,1D,3087,1,2025-12-02
PLN53B3B470,27F,3002,1,2025-10-21
PLN15597200,4K,2051,2,2025-12-26
PLN3DEE6B5B,3B,4079,2,2025-11-10
PLND0925E1E,8F,3064,1,2025-10-03
PLN53298611,13E,4038,1,2025-10-28
PLN09FA17E6,27B,3000,2,2025-12-27
PLN5ACFC03C,3E,4097,1,2025-10-30
PLNACAF808B,25B,4047,1,2025-11-19
PLNFF8A596E,12E,4030,1,2025-10-11
PLN88615ABB,4H,2010,1,2025-12-06
PLN09FA17E6,4E,2009,1,2025-10-28
PLNC9699B98,8B,1013,1,2025-10-15
PLNACAF808B,14A,1086,1,2025-12-04
PLNEDAB43C9,17C,1035,1,2025-12-21
PLN5C1AF452,2B,4006,1,2025-11-25
PLN53B3B470,1E,4095,3,2025-10-10
PLNA13C0F68,20B,1030,1,2025-11-17
PLN0714E876,11A,2061,2,2025-12-30
PLN66360715,7C,1051,1,2025-12-15
PLN53298611,12B,1058,1,2025-12-28
PLNA13C0F68,15C,1072,1,2025-10-02
PLN5ACFC03C,9B,2072,1,2025-12-09
PLNBA5E16F1,3E,1065,1,2025-12-19
PLNF21B08A5,7G,3010,1,2025-12-21
PLN98D56B26,32B,4063,1,2025-10-02
PLNF499F8E1,26E,3024,2,2025-10-12
PLN56690E38,11A,1071,1,2025-11-05
PLNF0AF5F02,1F,4094,1,2025-11-16
PLN50C1051E,6G,3045,1,2025-10-17
PLN9C0ACC4F,26A,4057,1,2025-11-10
PLN11DCE93B,22F,1094,1,2025-12-18
PLN37DAFD19,6J,2064,1,2025-12-27
PLN9890520A,5E,1040,1,2025-12-13
PLN8CDA5BE5,4C,4073,1,2025-11-21
PLN77A60286,11E,4079,1,2025-10-16
PLNCFAEFF1D,6B,2093,2,2025-12-07
PLNAD554C55,2B,4089,3,2025-11-16
PLND35EC308,18B,2037,1,2025-11-04
