Flight_number,Leg_no,Dep_airport_code,Arr_airport_code,Scheduled_dep_time,Scheduled_arr_time
1045,1,MIA,MIA,18:40:00,19:55:00
1046,1,DFW,DFW,09:00:00,12:00:00
1046,2,DFW,YVR,12:54:00,16:24:00
1047,1,PHL,EWR,12:50:00,14:25:00
1048,1,MIA,SEA,12:10:00,17:10:00
1049,1,DFW,SFO,15:30:00,17:05:00
1050,1,SEA,MIA,17:00:00,20:00:00
1051,1,SFO,TPA,16:20:00,21:20:00
1052,1,DFW,EWR,17:25:00,19:15:00
1053,1,DFW,DFW,13:10:00,15:00:00
1053,2,DFW,MCO,16:12:00,19:12:00
1054,1,DFW,DFW,16:55:00,20:25:00
1055,1,PHL,BWI,11:20:00,14:00:00
1056,1,PHL,AUS,11:25:00,12:30:00
1057,1,DFW,MCO,21:20:00,23:10:00
1057,2,MCO,LGA,00:11:00,03:41:00
1058,1,PHL,PHL,11:30:00,15:30:00
1059,1,PDX,CLT,14:20:00,15:45:00
1059,2,CLT,YYC,16:33:00,18:23:00
1059,3,YYC,CLT,19:25:00,21:15:00
1060,1,LGA,LGA,19:35:00,20:40:00
1061,1,LGA,JFK,15:05:00,18:35:00
1061,2,JFK,LGA,19:25:00,20:40:00
1061,3,LGA,HNL,21:34:00,23:39:00
1062,1,MIA,CLT,20:45:00,02:05:00
1062,2,CLT,CLT,02:44:00,04:19:00
1063,1,PHL,PHL,05:05:00,06:40:00
1063,2,PHL,PHL,07:42:00,11:12:00
1064,1,CLT,ORD,12:05:00,16:05:00
1065,1,SAN,CLT,18:40:00,21:40:00
1065,2,CLT,HNL,22:43:00,00:08:00
1066,1,PHL,PHL,13:35:00,17:35:00
1066,2,PHL,PHL,18:14:00,19:49:00
1067,1,BOS,PHL,15:40:00,19:40:00
1068,1,MIA,CLT,11:05:00,13:10:00
1068,2,CLT,CLT,14:11:00,15:46:00
1069,1,MIA,IAH,17:45:00,21:45:00
1069,2,IAH,MIA,22:21:00,00:41:00
1070,1,PHL,ATL,16:20:00,18:10:00
1071,1,PHL,PHL,12:20:00,16:20:00
1072,1,DFW,PHL,17:55:00,20:55:00
1072,2,PHL,DTW,21:40:00,01:40:00
1073,1,PDX,CLT,17:45:00,21:15:00
1074,1,JFK,YVR,09:35:00,10:40:00
1075,1,DFW,DTW,19:25:00,22:55:00
1075,2,DTW,DFW,23:51:00,03:51:00
1076,1,MIA,MIA,07:35:00,10:15:00
1077,1,LGA,DEN,11:00:00,13:20:00
1077,2,DEN,LGA,14:34:00,19:34:00
1077,3,LGA,YYZ,20:18:00,22:08:00
1078,1,TPA,CLT,11:35:00,16:05:00
1079,1,MIA,MIA,10:20:00,13:20:00
1080,1,LGA,LGA,17:30:00,20:10:00
1081,1,DAL,YYZ,08:55:00,13:55:00
1082,1,LGA,LGA,07:40:00,11:10:00
1082,2,LGA,LGA,12:06:00,15:06:00
1083,1,PHL,CLT,18:25:00,20:30:00
1084,1,PHL,YVR,10:55:00,13:55:00
1085,1,MIA,TPA,18:55:00,21:35:00
1086,1,LGA,MIA,07:20:00,09:25:00
1087,1,CLT,YUL,10:35:00,15:05:00
1087,2,YUL,CLT,15:53:00,17:28:00
1088,1,MIA,MSP,13:40:00,15:30:00
1089,1,LGA,DCA,12:55:00,16:25:00
1089,2,DCA,YUL,17:30:00,21:30:00
1090,1,PHL,IAH,12:20:00,15:50:00
1090,2,IAH,PHL,17:02:00,19:22:00
1091,1,PHL,YVR,15:25:00,17:30:00
1092,1,MIA,MIA,12:05:00,14:45:00
1093,1,LAS,MIA,11:15:00,13:20:00
1094,1,MIA,MIA,11:20:00,13:40:00
1095,1,MIA,LGA,05:55:00,09:55:00
1096,1,CLT,MIA,08:00:00,10:20:00
1096,2,MIA,CLT,11:31:00,14:11:00
1097,1,PHL,PHL,20:05:00,21:10:00
1097,2,PHL,PHL,21:49:00,23:04:00
1098,1,PHL,PHL,09:10:00,12:10:00
1099,1,MIA,PDX,21:30:00,02:00:00
1099,2,PDX,MIA,03:03:00,04:18:00
2000,1,DAL,DCA,14:45:00,17:45:00
2001,1,ORD,BOS,10:15:00,13:45:00
2001,2,BOS,ORD,14:31:00,16:36:00
2002,1,ORD,ATL,18:35:00,19:50:00
2003,1,EWR,EWR,12:20:00,16:20:00
2004,1,LAX,EWR,13:50:00,15:25:00
2005,1,DCA,DEN,13:10:00,14:45:00
2005,2,DEN,SEA,15:24:00,20:44:00
2006,1,FLL,DEN,19:55:00,21:00:00
2006,2,DEN,SAN,21:54:00,23:29:00
2006,3,SAN,DEN,00:29:00,02:34:00
2007,1,AUS,SFO,06:30:00,08:35:00
2007,2,SFO,SFO,09:30:00,14:50:00
2008,1,DFW,IAH,12:50:00,14:55:00
2009,1,SFO,DAL,10:35:00,12:25:00
2009,2,DAL,SFO,13:33:00,16:13:00
2010,1,IAH,JFK,16:30:00,19:30:00
2010,2,JFK,IAH,20:26:00,00:56:00
2011,1,ORD,PHL,18:55:00,20:30:00
2012,1,IAH,TPA,15:20:00,17:40:00
2012,2,TPA,IAH,18:35:00,20:25:00
2013,1,EWR,EWR,18:00:00,23:00:00
2014,1,CUN,SFO,19:00:00,22:30:00
2015,1,MDW,IAH,14:35:00,16:10:00
2016,1,ORD,ORD,10:20:00,12:10:00
2017,1,ORD,MCO,08:50:00,10:15:00
2017,2,MCO,ORD,10:59:00,12:04:00
2018,1,YUL,IAH,20:35:00,00:05:00
2018,2,IAH,DCA,00:55:00,03:35:00
2019,1,SFO,SFO,18:25:00,19:30:00
2019,2,SFO,MSP,20:37:00,22:02:00
2020,1,MSP,ORD,20:10:00,22:30:00
2021,1,SFO,CUN,15:40:00,20:40:00
2022,1,SAN,EWR,11:55:00,15:55:00
2023,1,SFO,SFO,18:00:00,21:00:00
2024,1,EWR,EWR,09:35:00,12:35:00
2025,1,YUL,GDL,15:05:00,16:20:00
2026,1,ORD,ATL,09:30:00,10:55:00
2027,1,TPA,MEX,15:45:00,18:45:00
2028,1,ORD,MDW,17:25:00,20:05:00
2029,1,AUS,DEN,07:15:00,10:15:00
2030,1,IAH,IAH,18:05:00,20:45:00
2031,1,YVR,SEA,14:00:00,15:15:00
2032,1,IAH,CUN,09:15:00,13:15:00
2032,2,CUN,IAH,14:23:00,16:28:00
2032,3,IAH,YVR,17:29:00,19:19:00
2033,1,SEA,SFO,07:45:00,11:15:00
2034,1,YYZ,SFO,09:15:00,11:35:00
2035,1,IAH,IAH,05:35:00,07:40:00
2036,1,SFO,SFO,19:25:00,21:00:00
2037,1,IAH,IAH,19:20:00,22:00:00
2038,1,EWR,EWR,12:30:00,14:35:00
2039,1,IAH,IAH,06:45:00,09:25:00
2039,2,IAH,IAH,10:31:00,12:51:00
2040,1,GDL,PHL,12:50:00,15:50:00
2041,1,SFO,LGA,16:55:00,18:10:00
2041,2,LGA,SFO,18:53:00,23:23:00
2041,3,SFO,DEN,00:03:00,01:53:00
2042,1,IAH,IAH,11:10:00,13:00:00
2043,1,HNL,IAH,10:20:00,12:10:00
2044,1,DTW,IAH,19:05:00,21:10:00
2045,1,DEN,YYC,16:05:00,17:40:00
2046,1,MEX,ORD,19:25:00,21:45:00
2047,1,SLC,SFO,08:50:00,12:20:00
2048,1,EWR,EWR,12:50:00,17:50:00
2049,1,FLL,DCA,08:10:00,09:45:00
2050,1,ORD,ORD,08:05:00,12:05:00
2051,1,SFO,TPA,18:45:00,22:45:00
2051,2,TPA,SFO,23:29:00,01:34:00
2052,1,ORD,ORD,13:00:00,15:05:00
2053,1,DEN,SAN,12:25:00,16:25:00
2054,1,IAH,IAH,17:20:00,20:00:00
2055,1,ORD,ORD,11:50:00,13:55:00
2056,1,SFO,ORD,15:15:00,16:40:00
2057,1,SFO,SFO,11:45:00,14:45:00
2058,1,DTW,DEN,05:20:00,06:45:00
2059,1,DEN,MIA,16:15:00,18:05:00
2059,2,MIA,DEN,19:17:00,20:52:00
2060,1,ORD,ORD,06:10:00,07:25:00
2061,1,SFO,BNA,16:40:00,19:00:00
2061,2,BNA,YVR,20:12:00,22:02:00
2062,1,YUL,IAH,06:55:00,09:55:00
2063,1,SAN,IAH,06:35:00,07:50:00
2064,1,CLT,EWR,19:05:00,22:05:00
2065,1,IAH,IAH,09:20:00,11:25:00
2066,1,SFO,PDX,14:35:00,16:10:00
2066,2,PDX,HNL,17:17:00,19:22:00
2067,1,CLT,MCO,11:30:00,13:50:00
2068,1,DEN,IAD,08:25:00,12:25:00
2068,2,IAD,DEN,13:27:00,16:57:00
2069,1,IAH,IAH,07:30:00,09:50:00
2069,2,IAH,JFK,10:31:00,12:21:00
2070,1,DEN,DEN,08:30:00,10:50:00
2071,1,EWR,PDX,16:05:00,20:35:00
2071,2,PDX,EWR,21:46:00,23:11:00
2072,1,DEN,YYZ,16:40:00,20:10:00
2072,2,YYZ,CLT,21:08:00,22:58:00
2073,1,IAH,IAH,05:45:00,08:45:00
2074,1,PHX,ORD,14:25:00,18:25:00
2075,1,PHX,MIA,17:05:00,19:25:00
2076,1,JFK,ORD,17:30:00,19:50:00
2077,1,IAH,IAH,14:55:00,16:10:00
2078,1,SFO,ORD,09:10:00,11:30:00
2079,1,ORD,ORD,11:40:00,14:20:00
2079,2,ORD,ORD,15:02:00,16:27:00
2079,3,ORD,ORD,17:24:00,18:39:00
2080,1,ORD,AUS,06:15:00,09:15:00
2080,2,AUS,ORD,10:15:00,15:35:00
2081,1,ORD,ORD,14:15:00,16:05:00
2082,1,MSP,IAH,08:00:00,10:20:00
2083,1,PHX,EWR,17:55:00,19:20:00
2083,2,EWR,EWR,19:57:00,23:57:00
2083,3,EWR,EWR,00:59:00,03:04:00
2084,1,EWR,EWR,18:45:00,22:45:00
2085,1,MSP,EWR,15:10:00,16:15:00
2085,2,EWR,EWR,17:29:00,19:04:00
2086,1,IAH,IAH,17:40:00,21:10:00
2086,2,IAH,GDL,21:50:00,02:50:00
2087,1,IAH,IAH,15:10:00,17:15:00
2088,1,SFO,MIA,08:10:00,10:15:00
2088,2,MIA,SFO,11:06:00,13:11:00
2089,1,GDL,MIA,07:10:00,12:10:00
2090,1,EWR,DTW,19:05:00,23:35:00
2090,2,DTW,EWR,00:40:00,02:45:00
2091,1,BOS,GDL,06:25:00,09:05:00
2092,1,ORD,ORD,19:00:00,20:25:00
2093,1,IAH,TPA,19:45:00,21:00:00
2093,2,TPA,IAH,21:47:00,22:52:00
2094,1,TPA,SFO,07:40:00,09:15:00
2094,2,SFO,CLT,10:01:00,11:26:00
2094,3,CLT,PHL,12:03:00,13:18:00
2095,1,YVR,EWR,16:25:00,17:30:00
2096,1,IAD,EWR,06:50:00,10:20:00
2097,1,ORD,ORD,17:20:00,18:45:00
2098,1,MIA,SFO,07:45:00,10:05:00
2099,1,FLL,IAD,09:45:00,11:35:00
3000,1,DTW,MCO,18:40:00,20:05:00
3000,2,MCO,AUS,21:03:00,22:53:00
3000,3,AUS,JFK,23:29:00,03:59:00
3001,1,DTW,DTW,15:35:00,17:40:00
3002,1,MCO,MSP,07:20:00,08:45:00
3003,1,AUS,SEA,15:45:00,17:35:00
3004,1,SLC,SEA,10:55:00,12:30:00
3004,2,SEA,PHX,13:44:00,17:14:00
3005,1,DEN,DCA,16:50:00,20:20:00
3006,1,LGA,LGA,12:40:00,18:00:00
3007,1,DTW,DAL,19:20:00,20:55:00
3007,2,DAL,YVR,21:54:00,00:14:00
3008,1,IAD,SEA,13:00:00,14:50:00
3008,2,SEA,SEA,15:55:00,18:15:00
3009,1,CLT,SEA,14:05:00,17:35:00
3010,1,DTW,DTW,18:05:00,19:40:00
3011,1,PHL,LGA,17:40:00,19:15:00
3011,2,LGA,ORD,20:13:00,22:33:00
3012,1,LGA,DFW,08:55:00,10:00:00
3012,2,DFW,LGA,10:56:00,14:26:00
3013,1,DEN,MSP,20:55:00,01:55:00
3014,1,LGA,LGA,07:00:00,08:50:00
3015,1,MIA,MSP,12:20:00,16:20:00
3015,2,MSP,FLL,17:02:00,19:42:00
3016,1,MSP,TPA,07:05:00,08:10:00
3017,1,SEA,HNL,12:55:00,14:10:00
3018,1,DTW,DTW,16:15:00,17:30:00
3019,1,LGA,LGA,21:25:00,00:05:00
3020,1,AUS,SEA,17:35:00,21:35:00
3021,1,LGA,LGA,05:25:00,07:15:00
3022,1,YYZ,DTW,06:25:00,07:50:00
3022,2,DTW,DTW,08:59:00,10:49:00
3023,1,MSP,MSP,10:10:00,12:50:00
3024,1,DEN,LGA,11:00:00,13:40:00
3024,2,LGA,LGA,14:35:00,18:05:00
3025,1,SEA,MDW,20:20:00,22:25:00
3026,1,MSP,MSP,06:50:00,08:40:00
3027,1,DTW,DTW,18:30:00,22:30:00
3028,1,LGA,LGA,20:55:00,01:55:00
3029,1,DTW,JFK,18:05:00,22:05:00
3030,1,PHX,SEA,15:05:00,17:25:00
3031,1,DTW,FLL,19:45:00,22:05:00
3032,1,YVR,PHL,19:00:00,20:25:00
3033,1,SEA,MSP,06:05:00,08:45:00
3034,1,LGA,DEN,12:50:00,16:20:00
3034,2,DEN,LGA,17:18:00,19:23:00
3034,3,LGA,LGA,20:21:00,23:51:00
3035,1,SEA,SEA,19:25:00,20:40:00
3036,1,LGA,DTW,12:05:00,15:05:00
3036,2,DTW,LGA,15:41:00,20:41:00
3037,1,HNL,LGA,08:20:00,10:25:00
3038,1,EWR,FLL,20:15:00,21:50:00
3039,1,MSP,MSP,10:55:00,13:00:00
3040,1,ATL,ATL,21:15:00,23:35:00
3040,2,ATL,SFO,00:17:00,01:42:00
3040,3,SFO,ATL,02:29:00,06:29:00
3041,1,MSP,MSP,07:05:00,08:30:00
3041,2,MSP,MSP,09:24:00,14:24:00
3042,1,HNL,LGA,07:10:00,09:30:00
3042,2,LGA,DAL,10:25:00,11:40:00
3043,1,SAN,LGA,09:40:00,10:55:00
3044,1,SEA,LAS,14:10:00,15:45:00
3044,2,LAS,SEA,16:30:00,20:30:00
3045,1,PHL,MSP,11:50:00,15:20:00
3045,2,MSP,MEX,16:30:00,17:35:00
3046,1,MSP,MDW,07:40:00,10:00:00
3047,1,SEA,PHX,15:45:00,19:45:00
3048,1,JFK,DEN,13:50:00,15:25:00
3049,1,SEA,DFW,20:50:00,23:30:00
3050,1,FLL,DTW,12:50:00,17:20:00
3051,1,DTW,LAX,06:10:00,09:40:00
3052,1,TPA,SAN,11:25:00,13:15:00
3053,1,MSP,IAD,21:40:00,23:45:00
3053,2,IAD,MCO,00:26:00,03:06:00
3053,3,MCO,MSP,04:01:00,05:16:00
3054,1,LAS,LGA,12:10:00,14:15:00
3054,2,LGA,SAN,14:56:00,20:16:00
3055,1,DTW,DTW,12:10:00,16:10:00
3056,1,SEA,SEA,10:35:00,12:55:00
3057,1,BNA,FLL,20:00:00,21:15:00
3058,1,LGA,EWR,06:00:00,09:00:00
3058,2,EWR,LGA,09:53:00,11:43:00
3059,1,TPA,SEA,05:05:00,06:55:00
3060,1,MEX,MSP,17:25:00,18:50:00
3061,1,ORD,LGA,07:30:00,09:20:00
3061,2,LGA,LGA,10:27:00,12:32:00
3062,1,BOS,SEA,17:25:00,19:45:00
3062,2,SEA,CLT,20:41:00,01:41:00
3063,1,DTW,SFO,21:30:00,23:20:00
3064,1,ATL,ATL,09:55:00,13:55:00
3065,1,HNL,LGA,09:45:00,12:25:00
3066,1,MSP,MSP,10:30:00,12:05:00
3067,1,DTW,HNL,21:40:00,02:10:00
3068,1,FLL,SEA,16:25:00,18:00:00
3068,2,SEA,DFW,18:42:00,23:12:00
3069,1,SEA,SEA,20:20:00,22:25:00
3070,1,IAH,SEA,20:10:00,22:15:00
3071,1,SEA,DEN,11:00:00,15:00:00
3071,2,DEN,DAL,16:03:00,17:53:00
3071,3,DAL,SEA,18:48:00,23:18:00
3072,1,IAD,MSP,21:45:00,00:45:00
3072,2,MSP,DCA,01:50:00,03:40:00
3073,1,MSP,BNA,15:10:00,16:25:00
3073,2,BNA,MSP,17:29:00,19:04:00
3074,1,DTW,DTW,20:15:00,22:55:00
3075,1,DTW,IAH,14:20:00,15:35:00
3076,1,LGA,YYC,14:05:00,15:20:00
3076,2,YYC,LGA,16:31:00,18:06:00
3077,1,LGA,MIA,06:20:00,08:40:00
3077,2,MIA,FLL,09:20:00,10:35:00
3078,1,LGA,SFO,13:40:00,17:40:00
3078,2,SFO,MDW,18:32:00,22:32:00
3079,1,ATL,ATL,06:50:00,08:40:00
3080,1,IAH,MSP,08:30:00,13:00:00
3081,1,LGA,LGA,05:40:00,08:20:00
3082,1,LGA,LGA,06:05:00,11:05:00
3082,2,LGA,MSP,12:16:00,14:56:00
3083,1,SEA,SEA,20:10:00,21:25:00
3083,2,SEA,SEA,22:18:00,23:43:00
3084,1,FLL,ATL,15:20:00,17:40:00
3085,1,SEA,SEA,21:35:00,23:10:00
3086,1,MSP,MSP,10:55:00,12:30:00
3087,1,DTW,DTW,15:20:00,18:50:00
3088,1,MSP,MSP,18:40:00,23:10:00
3089,1,ATL,ATL,10:10:00,11:35:00
3090,1,DTW,ATL,13:30:00,15:50:00
3091,1,BOS,LGA,13:50:00,15:55:00
3091,2,LGA,LGA,16:53:00,18:58:00
3092,1,LAS,ATL,17:50:00,22:50:00
3092,2,ATL,PHX,23:57:00,03:57:00
3093,1,ATL,ATL,12:15:00,13:50:00
3094,1,LGA,TPA,16:30:00,17:55:00
3095,1,LGA,LGA,07:40:00,09:05:00
3096,1,CUN,SEA,08:00:00,09:15:00
3097,1,SFO,DAL,09:10:00,12:10:00
3098,1,SEA,SEA,11:55:00,14:35:00
3099,1,LGA,SAN,19:10:00,23:40:00
3099,2,SAN,LGA,00:47:00,02:02:00
4000,1,LAS,LAS,14:55:00,17:00:00
4001,1,LAS,LAS,11:45:00,13:00:00
4002,1,DAL,DAL,07:40:00,10:40:00
4003,1,TPA,DEN,14:30:00,16:35:00
4004,1,DEN,DEN,17:35:00,21:05:00
4005,1,JFK,MDW,09:50:00,13:50:00
4006,1,DAL,DAL,14:35:00,17:35:00
4006,2,DAL,DFW,18:44:00,20:49:00
4007,1,PHX,PHX,12:35:00,17:05:00
4008,1,DEN,DEN,08:00:00,10:40:00
4009,1,PHX,PHX,11:05:00,13:10:00
4010,1,DEN,PHX,06:15:00,08:05:00
4011,1,YVR,LAS,11:00:00,14:00:00
4012,1,PHX,PHX,15:45:00,18:05:00
4013,1,MDW,MDW,10:50:00,12:40:00
4013,2,MDW,BOS,13:42:00,18:12:00
4013,3,BOS,MDW,19:22:00,20:47:00
4014,1,DAL,IAD,14:30:00,19:30:00
4014,2,IAD,DCA,20:16:00,22:21:00
4014,3,DCA,DAL,23:30:00,01:35:00
4015,1,DEN,DEN,09:35:00,11:55:00
4016,1,IAD,DCA,21:10:00,23:15:00
4017,1,DEN,DEN,15:50:00,17:05:00
4018,1,LAS,JFK,11:00:00,13:20:00
4019,1,LAS,LAS,11:45:00,13:50:00
4020,1,DEN,DEN,15:20:00,20:40:00
4021,1,DEN,DEN,12:40:00,15:00:00
4021,2,DEN,DEN,15:55:00,18:15:00
4022,1,SAN,MDW,16:20:00,19:20:00
4023,1,YUL,MDW,19:05:00,22:35:00
4024,1,EWR,MDW,15:30:00,19:30:00
4025,1,PHX,DFW,18:20:00,22:20:00
4025,2,DFW,PHX,23:04:00,01:44:00
4026,1,MDW,MDW,12:35:00,16:05:00
4027,1,MDW,MDW,20:35:00,23:15:00
4028,1,SEA,MDW,20:10:00,23:40:00
4028,2,MDW,AUS,00:49:00,03:29:00
4029,1,PHX,ORD,09:50:00,14:20:00
4029,2,ORD,PHX,15:09:00,16:24:00
4029,3,PHX,DCA,17:03:00,21:03:00
4030,1,DAL,DAL,16:00:00,20:30:00
4031,1,PHX,YUL,05:00:00,08:00:00
4032,1,PHX,PHX,05:40:00,07:30:00
4033,1,PHX,HNL,10:05:00,15:25:00
4033,2,HNL,PHX,16:06:00,19:06:00
4034,1,DEN,AUS,16:20:00,19:50:00
4034,2,AUS,MEX,20:50:00,22:15:00
4035,1,BWI,MDW,12:55:00,16:55:00
4035,2,MDW,DAL,17:44:00,20:24:00
4036,1,DAL,DAL,17:30:00,19:35:00
4037,1,PHX,PHX,05:55:00,07:20:00
4038,1,BNA,DAL,08:40:00,11:00:00
4038,2,DAL,DTW,11:37:00,13:27:00
4039,1,DEN,MSP,06:05:00,09:05:00
4040,1,PHX,PHX,15:00:00,16:50:00
4041,1,PHX,IAD,07:20:00,11:50:00
4042,1,YYZ,PHX,15:30:00,17:50:00
4043,1,DAL,ORD,08:30:00,11:10:00
4044,1,DAL,DAL,15:00:00,19:00:00
4045,1,MDW,MDW,12:25:00,15:05:00
4046,1,DCA,LAS,17:05:00,20:05:00
4047,1,YYZ,MDW,09:30:00,13:00:00
4047,2,MDW,MDW,14:15:00,16:05:00
4048,1,LAS,LAS,08:05:00,10:45:00
4049,1,YVR,MDW,13:05:00,14:10:00
4050,1,DAL,DAL,19:40:00,22:40:00
4051,1,IAD,PHX,05:05:00,06:40:00
4052,1,PHX,FLL,17:05:00,20:35:00
4052,2,FLL,PHX,21:45:00,02:15:00
4053,1,HNL,PHX,17:10:00,22:10:00
4054,1,FLL,MDW,20:10:00,22:15:00
4055,1,DCA,DEN,18:20:00,19:45:00
4056,1,CUN,DAL,20:45:00,01:45:00
4056,2,DAL,YYZ,02:59:00,05:59:00
4057,1,LAS,MIA,14:00:00,16:40:00
4058,1,MDW,DTW,19:25:00,21:45:00
4059,1,PHX,PHX,15:45:00,17:35:00
4060,1,LAS,SFO,17:25:00,19:30:00
4061,1,YYC,LAS,17:20:00,19:40:00
4061,2,LAS,DTW,20:40:00,00:40:00
4062,1,YYC,DAL,10:50:00,12:40:00
4063,1,SAN,EWR,19:20:00,21:10:00
4064,1,LAS,MIA,14:15:00,15:50:00
4065,1,DEN,DEN,21:55:00,01:55:00
4065,2,DEN,DEN,02:56:00,04:01:00
4066,1,DAL,DAL,08:15:00,09:40:00
4067,1,DEN,DEN,15:30:00,17:50:00
4068,1,DAL,DAL,12:40:00,17:40:00
4069,1,DAL,PHX,19:25:00,22:55:00
4070,1,LAS,CLT,18:05:00,19:30:00
4070,2,CLT,FLL,20:12:00,21:47:00
4071,1,MDW,DTW,19:15:00,21:35:00
4072,1,LAS,LAS,08:35:00,10:25:00
4073,1,LAX,LGA,06:55:00,08:00:00
4074,1,DTW,DAL,21:10:00,23:00:00
4074,2,DAL,DAL,00:10:00,01:25:00
4075,1,MDW,MDW,12:30:00,16:00:00
4076,1,DEN,YVR,17:00:00,22:00:00
4077,1,YVR,DEN,05:55:00,07:10:00
4077,2,DEN,BWI,07:58:00,09:48:00
4078,1,MDW,MDW,10:25:00,13:05:00
4079,1,DEN,BOS,21:50:00,23:55:00
4079,2,BOS,DEN,00:50:00,03:50:00
4080,1,LAS,GDL,08:25:00,10:15:00
4081,1,PDX,PHX,14:45:00,16:00:00
4082,1,DAL,DAL,08:15:00,10:20:00
4083,1,PHX,DAL,09:40:00,11:15:00
4084,1,GDL,LAS,17:30:00,19:20:00
4085,1,LAS,LAS,15:35:00,17:10:00
4085,2,LAS,LAS,18:24:00,19:39:00
4086,1,ATL,MDW,11:30:00,13:05:00
4086,2,MDW,MCO,14:15:00,19:15:00
4087,1,IAD,YUL,18:55:00,21:55:00
4088,1,LAS,LAS,14:10:00,17:40:00
4088,2,LAS,MSP,18:44:00,23:14:00
4088,3,MSP,LAS,00:25:00,05:25:00
4089,1,PHX,LAS,06:55:00,08:30:00
4089,2,LAS,PHX,09:33:00,12:13:00
4089,3,PHX,MDW,13:22:00,16:22:00
4090,1,LAS,MEX,14:00:00,16:20:00
4091,1,MDW,MDW,19:05:00,23:35:00
4092,1,DEN,DEN,10:45:00,12:35:00
4093,1,EWR,DEN,10:25:00,12:45:00
4093,2,DEN,DEN,13:38:00,16:38:00
4094,1,PHX,PHX,09:30:00,14:00:00
4095,1,MDW,LGA,20:10:00,22:50:00
4095,2,LGA,YYZ,00:01:00,01:51:00
4095,3,YYZ,IAD,03:06:00,06:36:00
4096,1,LAS,LAS,07:50:00,10:30:00
4097,1,LAS,SLC,19:35:00,21:00:00
4098,1,PHX,PHX,19:50:00,20:55:00
4099,1,AUS,DAL,11:30:00,16:30:00
